ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE	COMMENTS/TICKET	AI
spine arthritis/spondylitis	osteoarthritis, spine	EFO_1000787	Narrow	20002_1311	DONE	
prolapsed disc/slipped disc	lumbar disc herniation	EFO_1002005	Narrow	20002_1312	DONE	
other renal/kidney problem	kidney disease	EFO_0003086	Exact	20002_1405	DONE	
bronchitis	bronchial disease	EFO_1002018	Broad	20002_1412	DONE	
other joint disorder	joint disease	EFO_1000999	Exact	20002_1467	DONE	
diabetic neuropathy/ulcers	diabetic neuropathy	EFO_1000783	Exact	20002_1468	DONE	
cervical spondylosis	spondylosis, cervical	EFO_0009610	Exact	20002_1478	DONE	
svt / supraventricular tachycardia	supraventricular tachycardia	HP_0004755	Exact	20002_1487	DONE	
anal problem	abnormality of the anus	HP_0004378	Exact	20002_1503	DONE	
macular degeneration	macular degeneration	EFO_0009606	Exact	20002_1528	DONE	
bowel / intestinal obstruction	gastrointestinal obstruction	HP_0004796	Exact	20002_1602	DONE	
stress	psychosocial stress measurement	EFO_1001920	?	20002_1614	DONE	
fracture upper arm / humerus / elbow	upper extremity fracture	EFO_0009514	Broad	20002_1633	DONE	
fracture vertebra / crush fracture / vertebral collapse	spinal fracture	EFO_0003902	Broad	20002_1646	DONE	
allergy to house dust mite	response to biological dust exposure	EFO_0006992	Broad	20002_1668	DONE	
benign neuroma	neuroma	EFO_0009619	Exact	20002_1683	DONE	
Hearing difficulty/problems: I am completely deaf	deafness	EFO_0001063	Exact	2247_99	DONE	
Which eye(s) are affected by cataract: Right eye	cataract	EFO_0001059	Exact	5441_1	DONE	
Which eye(s) are affected by cataract: Left eye	cataract	EFO_0001059	Exact	5441_2	DONE	
Number of self-reported cancers	cancer	EFO_0009800	Exact	134	DONE	
Number of self-reported non-cancer illnesses	disease	EFO_0009801	Exact	135	DONE	
Number of operations, self-reported	medical prodecure	EFO_0009802	Exact	136	DONE	
Number of treatments/medications taken	treatment	EFO_0009803	Exact	137	DONE	
Townsend deprivation index at recruitment		EFO_0009711	Broad	189	DONE	
Number of incorrect matches in round	cognitive function measurement	EFO_0008354	Broad	399	DONE	
Getting up in morning		EFO_0009817	Exact	1170	DONE	
Nap during day	Need to sleep during day	EFO_0009818	Exact	1190	DONE	
Comparative body size at age 10	body height	EFO_0009819	Exact	1687	DONE	
Father's age at death	age at death	EFO_0009712	Exact	1807	DONE	
Number of full brothers	number of siblings	EFO_0009713	Broad	1873	DONE	
Number of full sisters	number of siblings	EFO:0009713	Broad	1883	DONE	
Tense / 'highly strung'	feeling tense measurement	EFO:0009596	Narrow	1990	DONE	
Worry too long after embarrassment	worry measurement	EFO_0009589	Broad	2000	DONE (but fix typo in label 'worry measurment')	Fix typo: https://github.com/EBISPOT/efo/issues/377
Suffer from 'nerves'	nervousness	NCIT_C74532	Exact	2010	DONE	
Seen doctor (GP) for nerves, anxiety, tension or depression	mental or behavioural disorder	EFO_0009820	Exact	2090	DONE	
Seen a psychiatrist for nerves, anxiety, tension or depression	mental or behavioural disorder	EFO_0009821	Exact	2100	DONE	
Long-standing illness, disability or infirmity	chronic	EFO_0009714	Broad	2188	DONE	
Falls in the last year	fall	EFO_0009631	Broad	2296	DONE	
Wheeze or whistling in the chest in last year	wheezing	EFO_0009715	Broad	2316	DONE	
Relative age of first facial hair	puberty onset measurement	EFO_0009716	Exact	2375	DONE	
Number of children fathered	number of children ever born measurement	EFO_0009814	Exact	2405	DONE	
Birth weight of first child	birth weight	EFO_0004344	Broad	2744	DONE	
Age at first live birth	age at first birth measurement	EFO_0009101	Exact	2754	DONE	
Age at last live birth	age at last pregnancy	EFO_0009440	Broad	2764	DONE	
Bilateral oophorectomy (both ovaries removed)	bilateral oophorectomy	EFO_0009717	Exact	2834	DONE	
Peak expiratory flow (PEF)	peak expiratory flow	EFO_0009718	Exact	3064	DONE	
Pace-maker	cardiac pacemaker	EFO_0009719	Exact	3079	DONE	
Hearing aid user	hearing assistance system/able to hear with hearing aids	EFO_0009720	Broad	3393	DONE	
Mother's age at death	age at death	EFO_0009721	Exact	3526	DONE	
Number of stillbirths	?	EFO_0009722	Exact	3829	DONE	
Age of primiparous women at birth of child	age at first birth measurement	EFO_0009101	Exact	3872	DONE	
Pulse wave reflection index	reflection wave amplitude	EFO_0009804	Exact	4195	DONE	
Happiness	emotional symptom measurement	EFO_0007803	Broad	4526	DONE	
Work/job satisfaction	job satisfaction	EFO_0009723	Exact	4537	DONE	
Health satisfaction	satisfaction	EFO_0009724	Exact	4548	DONE	
Friendships satisfaction	satisfaction	EFO_0009725	Exact	4570	DONE	
Financial situation satisfaction	satisfied with current financial situation	EFO_0009726	Exact	4581	DONE	
Ever depressed for a whole week	depressive episode measurement	EFO_0007704	Broad	4598	DONE	
Ever unenthusiastic/disinterested for a whole week	depressive symptom measurement	EFO_0007006	Broad	4631	DONE [Paola] I'd say broad, not narrow	
Ever manic/hyper for 2 days	manic episode measurement	EFO_0007705	Exact	4642	DONE	
Ever highly irritable/argumentative for 2 days	irritability measurement	EFO_0009594	Exact	4653	DONE	
Shortness of breath walking on level ground	have shortness of breath	EFO_0009727	Broad	4717	DONE	
Cochlear implant	cochlear implants	EFO_0009728	Exact	4792	DONE	
Tinnitus severity/nuisance	tinnitus	HP_0000360	Broad	4814	DONE	
Number of unenthusiastic/disinterested episodes	depressive episode measurement	EFO_0007704	Broad	5386	DONE	
Surgery on leg arteries (other than for varicose veins)	medical procedure	EFO_0009729	Broad	5529	DONE	
Length of longest manic/irritable episode	manic episode measurement||irritability measurement	EFO_0007705||EFO_0009594	Exact	5663	DONE	
Severity of manic/irritable episodes	manic episode measurement||irritability measurement	EFO_0007705||EFO_0009594	Exact	5674	DONE	
Able to walk or cycle unaided for 10 minutes	physical activity	EFO_0009822	Exact	6017	DONE	
Target heart rate achieved	heart rate	EFO_0009823	Exact	6034	DONE	
Sitting height	sitting height ratio	EFO_0007118	Exact	20015	DONE	
Cascot confidence score	quantitative confidence value	EFO_0009815	Exact	20121	DONE	
Bring up phlegm/sputum/mucus on most days	?	EFO_0009824	Exact	22504	DONE	
Whole body water mass	body weight	EFO_0009805	Exact	23102	DONE	
Reported occurrences of cancer	cancer	EFO_0000311	Exact	40009	DONE	
Procreative_management	family planning services	EFO_0009787	Broad	Z31	DONE	
other abdominal problem	pain in abdomen	EFO_0003766	Narrow	20002_1137	DONE	
oesophageal stricture	esophageal stricture	HP_0002043	Exact	20002_1140	DONE	
bladder problem (not cancer)	bladder disease	EFO_1000018	Exact	20002_1201	DONE	
prostate problem (not cancer)	prostate disease	EFO_0009602	Exact	20002_1207	DONE	
testicular problems (not cancer)	testicular disease	EFO_0009601	Exact	20002_1214	DONE	
thyroid problem (not cancer)	thyroid disease	EFO_1000627	Exact	20002_1224	DONE	
thyroid radioablation therapy	thyroid radioablation therapy	EFO_0009600	Exact	20002_1228	DONE	
adrenocortical insufficiency/addison's disease	adrenocortical insufficiency	EFO_0009491	Exact	20002_1234	DONE	
neurological injury/trauma	nervous system injury	EFO_0009490	Exact	20002_1240	DONE	
eye/eyelid problem	eye disease	EFO_0003966	Broad	20002_1242	DONE	
cranial nerve problem/palsy	cranial nerve palsy	EFO_0009489	Exact	20002_1249	DONE	
spinal cord disorder	spinal cord disease	EFO_0009488	Exact	20002_1251	DONE	
peripheral nerve disorder	peripheral nervous system disease	EFO_0009387	Exact	20002_1254	DONE	
trapped nerve/compressed nerve	nerve compression syndrome	EFO_0009487	Exact	20002_1257	DONE	
diabetic eye disease	diabetic eye disease	EFO_0009486	Exact	20002_1276	DONE	
eye trauma	eye injury	EFO_0009485	Exact	20002_1279	DONE	
nervous breakdown	mental or behavioural disorder	EFO_0000677	Broad	20002_1288	DONE	
back problem	back pain	HP_0003418	Exact	20002_1294	DONE	
uterine polyps	uterine polyp	EFO_0009484	Exact	20002_1352	DONE	
breast disease (not cancer)	breast disease	EFO_0009483	Broad	20002_1364	DONE	
allergy or anaphylactic reaction to drug	drug allergy	EFO_0009482	Exact	20002_1386	DONE	
enlarged prostate	benign prostatic hyperplasia	EFO_0000284	Exact	20002_1396	DONE	
muscle or soft tissue injuries	injury	EFO_0000546	Broad	20002_1406	DONE	
burns	burn	EFO_0009516	Exact	20002_1407	DONE	
nasal/sinus disorder	paranasal sinus disease	EFO_0009481	Exact	20002_1413	DONE	
throat or larynx disorder	throat disease	EFO_0009479	Exact	20002_1414	DONE	
vocal cord polyp	vocal cord polyp	EFO_0009478	Exact	20002_1419	DONE	
other neurological problem	nervous system disease	EFO_0000618	Exact	20002_1434	DONE	
clotting disorder/excessive bleeding	blood coagulation disease	EFO_0009314	Exact	20002_1445	DONE	
hereditary/genetic haematological disorder	hematologic disease	EFO_0005803	Broad	20002_1451	DONE	
blistering/desquamating skin disorder	bullous skin disease	EFO_1000673	Narrow	20002_1454	DONE	
disc problem	vertebral joint disease	EFO_0009477	Exact	20002_1532	DONE	
neck problem/injury	neck injury	EFO_0009476	Broad	20002_1545	DONE	
cervical polyps	cervical polyp	EFO_0009475	Exact	20002_1555	DONE	
soft tissue inflammation	soft tissue disease	EFO_0009470	Broad	20002_1618	DONE	
abnormal smear (cervix)	abnormal PAP smear	EFO_0009511	Exact	20002_1663	DONE	
benign breast lump	breast fibrocystic disease	EFO_0003014	Exact	20002_1666	DONE	
Problems_related_to_social_environment	social problems	EFO_0009788	Broad	Z60	DONE	
Problems_related_to_life_management_difficulty	?	EFO_0009786	Broad	Z73	DONE	
Volume_depletion	?	HP0011106	Exact	E86	DONE	
Spondylopathies_in_diseases_classified_elsewhere	vertebral joint disease	EFO_0004260	Broad	M49	DONE	
Shoulder_lesions	NA	EFO_0009470	Broad	M75	DONE	
Maternal_care_for_known_or_suspected_malpresentation_of_fetus	NA	EFO_0009682	Broad	O32	DONE	
Maternal_care_for_known_or_suspected_disproportion	NA	EFO_0009682	Broad	O33	DONE	
Maternal_care_for_known_or_suspected_abnormality_of_pelvic_organs	NA	EFO_0009682	Broad	O34	DONE	
Long_labour	birthing labor	EFO_0009682	Broad	O63	DONE	
Perineal_laceration_during_delivery	first degree perineal laceration	EFO_0009816	Exact	O70	DONE	
Other_obstetric_trauma	obstetric labor complications	EFO_0009682	Broad	O71	DONE	
Complications_of_anaesthesia_during_the_puerperium	complication of the puerperium	EFO_0009683	Broad	O89	DONE	
Intrauterine_hypoxia	hypoxia	EFO_1001793	Exact	P20	DONE	
Abnormal_serum_enzyme_levels	liver enzyme measurement	EFO_0009826	Exact	R74	DONE	
Injury_of_blood_vessels_at_neck_level	injury		EFO_0009886	Broad	S15	DONE
Injury_of_other_intrathoracic_organs	injury	EFO_0009887	Exact	S27	DONE	
Injury_of_blood_vessels_at_abdomen_lower_back_and_pelvis_level	injury	EFO_0009886	Broad	S35	DONE	
Injury_of_blood_vessels_at_shoulder_and_upper_arm_level	injury	EFO_0009886	Broad	S45	DONE	
Other_fluke_infections	infectious disease	EFO_1001342	Exact	B66	DONE	
Other_postsurgical_states	NA	EFO_0009789	Broad	Z98	DONE	
Acquired_haemolytic_anaemia	hemolytic anemia	EFO_0005558	Broad	D59	DONE	
Artificial_opening_status	opening	EFO_0009789	Broad	Z93	DONE	
Persons encountering health services in other circumstances	NA	EFO_0009786	Broad	Z76	DONE	
Persons encountering health services for other counselling and medical advice, not elsewhere classified	NA	EFO_0009786	Broad	Z71	DONE	
Hereditary_ataxia	hereditary ataxia	EFO_0009671	Exact	G11	DONE	
Mycetoma	eumycotic mycetoma	EFO_0007265	Exact	B47	DONE	
Viral_warts	warts	EFO_0009662	Exact	B07	DONE	
Acquired_absence_of_limb	amputation	EFO_0009632	Narrow	Z89	DONE	
Convalescence	caonvalescence	EFO_0009630	Exact	Z54	DONE	
Pemphigoid	bullous skin disease	EFO_1000673	Broad	L12	DONE	
Eccrine_sweat_disorders	sweat gland disease	EFO_1000772	Broad	L74	DONE	
Traumatic_amputations_involving_multiple_body_regions	amputation	EFO_0009632	Broad	T05	DONE	
Need_for_immunization_against_certain_single_viral_diseases	immunization	EFO_0004292	Broad	Z24	DONE	
Need_for_immunization_against_other_single_viral_diseases	immunization	EFO_0004292	Broad	Z25	DONE	
Need_for_immunization_against_other_single_infectious_diseases	immunization	EFO_0004292	Broad	Z26	DONE	
Need_for_immunization_against_combinations_of_infectious_diseases	immunization	EFO_0004292	Broad	Z27	DONE	
Transplanted_organ_and_tissue_status	transplant outcome measurement	EFO_0005198	Broad	Z94	DONE	
Persons encountering health services for specifie procedures, not carried out	NA	EFO_0009786	Broad	Z53	DONE	
Haemorrhage_from_respiratory_passages	hemorrhage	MP_0001914	Broad	R04	DONE	
Renal_tubulo_interstitial_disorders_in_diseases_classified_elsewhere	renal tubule disease	EFO_0009566	Broad	N16	DONE	
Occlusion_and_stenosis_of_cerebral_arteries_notcerebral_infarction	cerebrovascular disorder	EFO_0003763	Broad	I66	DONE	
Orchitis_and_epididymitis	orchitis	EFO_1001078	Broad	N45	DONE	
Other_disorders_of_nervous_system	nervous system disease	EFO_0000618	Exact	G98	DONE	
Rheumatic_fever_with_heart_involvement	rheumatic heart disease	EFO_1001161	Broad	I01	DONE	
Rapidly_progressive_nephritic_syndrome	kidney disease	EFO_0003086	Broad	N01	DONE	
Dizziness_and_giddiness	vertigo	HP_0002321	Broad	R42	DONE	
Chlamydia_psittaci_infection	chlamydophila psittaci infection	EFO_1001288	Broad	A70	DONE	
Glomerular_disorders_in_diseases_classified_elsewhere	glomerular disease	EFO_1002049	Broad	N08	DONE	
Hypertensive_renal_disease	renal hypertension	EFO_1002039	Exact	I12	DONE	
Congenital_ichthyosis	congenital ichthyosis	Orphanet:281097	Narrow	Q80	DONE	
Fracture of skull and facial bones	skull factures	EFO_1001425	Broad	S02	DONE	
Headache	Headache	HP_0002315	Exact	R51	DONE	
Fever of unknown origin	fever of unknown origin	EFO_0003952	Exact	R50	DONE	
Dysphagia	Dysphagia	HP_0002015	Exact	R13	DONE	
Heartburn	dyspepsia	EFO_0008533	Broad	R12	DONE	
Cough	Cough	HP_0012735	Exact	R05	DONE	
Urethritis and urethral syndrome	Urethritis	EFO_0003878	Broad	N34	DONE	
Other arthritis	arthritis	EFO_0005856	Exact	M13	DONE	
Systemic lupus erythematosus	systemic lupus erythematosus	EFO_0002690	Exact	M32	DONE	
Systemic sclerosis	systemic scleroderma	EFO_0000717	Exact	M34	DONE	
Psoriasis	psoriasis	EFO_0000676	Exact	L40	DONE	
Follicular cysts of skin and subcutaneous tissue	Follicular cysts	EFO_1001329	Broad	L72	DONE	
Other disorders of pigmentation	pigmentation disease	EFO_1000755	Exact	L81	DONE	
Ulcer of lower limb, not elsewhere classified	ulcer of lower limb	EFO_0007068	Exact	L97	DONE	
Dyspepsia	dyspepsia	EFO_0008533	Exact	K30	DONE	
Inguinal hernia	inguinal hernia	HP_0000023	Exact	K40	DONE	
Acute sinusitis	sinusitis	EFO_0007486	Broad	J01	DONE	
Pneumonia due to Streptococcus pneumoniae	pneumococcal infection	EFO_0000772	Broad	J13	DONE	
Bacterial pneumonia, not elsewhere classified	bacterial pneumonia	EFO_1001272	Exact	J15	DONE	
Pneumonia, organism unspecified	pneumonia	EFO_0003106	Exact	J18	DONE	
Nasal polyp	nasal cavity polyp	EFO_1000391	Exact	J33	DONE	
Peritonsillar abscess	peritonsillar abscess	EFO_0007429	Exact	J36	DONE	
Emphysema	emphysema	EFO_0000464	Exact	J43	DONE	
Other chronic obstructive pulmonary disease	chronic obstructive pulmonary disease	EFO_0000341	Exact	J44	DONE	
Asthma	asthma	EFO_0000270	Exact	J45	DONE	
Bronchiectasis	Bronchiectasis	HP_0002110	Exact	J47	DONE	
Other interstitial pulmonary diseases	interstitial lung disease	EFO_0004244	Exact	J84	DONE	
Other respiratory disorders	respiratory system disease	EFO_0000684	Exact	J98	DONE	
Aortic aneurysm and dissection	aortic aneurysm	EFO_0001666	Broad	I71	DONE	
Hordeolum and chalazion	Hordeolum	EFO_0007315	Broad	H00	DONE	
Myasthenia gravis and other myoneural disorders	Myasthenia gravis	EFO_0004991	Broad	G70	DONE	
Manic episode	manic or hypomanic episode	EFO_0007706	Broad	F30	DONE	
Bipolar affective disorder	bipolar disorder	EFO_0000289	Exact	F31	DONE	
Sexual dysfunction, not caused by organic disorder or disease	sexual dysfunction	EFO_0004714	Exact	F52	DONE	
Other hypothyroidism	hypothyroidism	EFO_0004705	Exact	E03	DONE	
Melanoma in situ	Clark level I melanoma	EFO_0004957	Exact	D03	DONE	
Haemangioma and lymphangioma, any site	Hemangioma	EFO_1000635	Broad	D18	DONE	
Leiomyoma of uterus	uterine fibroid	EFO_0000731	Broad	D25	DONE	
Benign neoplasm of ovary	benign ovarian neoplasm	EFO_1000116	Exact	D27	DONE	
Benign neoplasm of other and unspecified female genital organs	Genital neoplasm, female	EFO_1001331	Broad	D28	DONE	
Benign neoplasm of brain and other parts of central nervous system	Benign brain neoplasm	EFO_1000107	Broad	D33	DONE	
Benign neoplasm of thyroid gland	benign thyroid gland neoplasm	EFO_1000122	Exact	D34	DONE	
Polycythaemia vera	Polycythaemia vera	EFO_0002429	Exact	D45	DONE	
Myelodysplastic syndromes	myelodysplastic syndrome	EFO_0000198	Exact	D46	DONE	
Purpura and other haemorrhagic conditions	Purpura	HP_0000979	Broad	D69	DONE	
Malignant neoplasm of colon	colon carcinoma	EFO_1001950	Exact	C18	DONE	
Malignant neoplasm of larynx	Malignant Laryngeal Neoplasm	EFO_1000354	Exact	C32	DONE	
Mesothelioma	mesothelioma	EFO_0000588	Exact	C45	DONE	
Secondary and unspecified malignant neoplasm of lymph nodes	metastasis to lymph node	EFO_0004906	Broad	C77	DONE	
Hodgkin's disease	Hodgkins lymphoma	EFO_0000183	Exact	C81	DONE	
Follicular [nodular] non-Hodgkin's lymphoma	Cutaneous Follicular Lymphoma	EFO_1000211	Broad	C82	DONE	
Multiple myeloma and malignant plasma cell neoplasms	multiple myeloma	EFO_0001378	Broad	C90	DONE	
Lymphoid leukaemia	lymphoid leukemia	EFO_0004289	Exact	C91	DONE	
Myeloid leukaemia	acute myeloid leukemia	EFO_0000222	Exact	C92	DONE	
Fracture of shoulder and upper arm	Bone fracture from OLS	EFO_0003931	Broad	S42	DONE	
Elevated blood glucose level	fasting blood glucose measurement rather than elvated	EFO_0004468	Broad	R73	DONE	
Other necrotising vasculopathies	vasculitis	EFO_0006803	Broad	M31	DONE	
Other local infections of skin and subcutaneous tissue	General skin disease term	EFO_0000701	Broad	L08	DONE	
Retinal vascular occlusions	retinal vein occlusion	EFO_1001157	Narrow	H34	DONE	
Reaction to severe stress, and adjustment disorders	psychosocial stress measurement	EFO_0006783	Broad	F43	DONE	
Benign neoplasm of colon, rectum, anus and anal canal	anal neoplasm, not malignant specific	EFO_0003835	Broad	D12	DONE	
Benign neoplasm of breast	breast neoplasm, not malignant specific	EFO_0003869	Broad	D24	DONE	
Malignant neoplasm of rectosigmoid junction	rectal cancer, not malignant specific	EFO_1000657	Broad	C19	DONE	
Malignant neoplasm of breast	breast neoplasm, not necessarily malignant	EFO_0003869	Broad	C50	DONE	
Malignant neoplasm of prostate	prostate carcinoma	EFO_0001663	Broad	C61	DONE	
Malignant neoplasm of testis	testicular carcinoma, not malignant spcific	EFO_0005088	Broad	C62	DONE	
Malignant neoplasm of brain	brain neoplasm, not malignant specific	EFO_0003833	Broad	C71	DONE	
Failure and rejection of transplanted organs and tissues	transplant outcome measurement	EFO_0005198	Broad	T86	DONE	
Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances	poisoning	EFO_0008546	Broad	T50	DONE	
Poisoning by psychotropic drugs, not elsewhere classified	poisoning	EFO_0008546	Broad	T43	DONE	
Poisoning by antiepileptic, sedative-hypnotic and anti-Parkinsonism drugs	poisoning	EFO_0008546	Broad	T42	DONE	
Poisoning by narcotics and psychodysleptics [hallucinogens]	poisoning	EFO_0008546	Broad	T40	DONE	
Poisoning by nonopioid analgesics, antipyretics and antirheumatics	poisoning	EFO_0008546	Broad	T39	DONE	
Dislocation, sprain and strain of joints and ligaments at ankle and foot level	ankle injury	EFO_1002021	Broad	S93	DONE	
Fracture of foot, except ankle	Bone fracture	EFO_0003931	Broad	S92	DONE	
Fracture of forearm	Bone fracture	EFO_0003931	Broad	S52	DONE	
Abdominal and pelvic pain	pain in abdomen	EFO_0003766	Broad	R10	DONE	
Medical abortion	abortion	EFO_1001491	Broad	O04	DONE	
Other disorders of bladder	bladder disease	EFO_1000018	Exact	N32	DONE	
Hydrocele and spermatocele	testicular hydrocele || spermatocele EFO_1001189	EFO_1001859, EFO_1001189	Broad	N43	DONE	
Redundant prepuce, phimosis and paraphimosis	phimosis	EFO_1001104	Broad	N47	DONE	
Salpingitis and oophoritis	Pelvic Inflammatory Disease	EFO_1001388	Broad	N70	DONE	
Other inflammation of vagina and vulva	vaginal inflammation	EFO_0005757	Exact	N76	DONE	
Other rheumatoid arthritis	rheumatoid arthritis	EFO_0000685	Exact	M06	DONE	
Other joint disorders, not elsewhere classified	joint disease	EFO_1000999	Exact	M25	DONE	
Osteoporosis without pathological fracture	osteoporosis	EFO_0003882	Broad	M81	DONE	
Lichen simplex chronicus and prurigo	lichen disease	EFO_1000724	Broad	L28	DONE	
Other disorders of skin and subcutaneous tissue, not elsewhere classified	skin disease	EFO_0000701	Exact	L98	DONE	
Acute appendicitis	appendicitis	EFO_0007149	Broad	K35	DONE	
Chronic sinusitis	sinusitis	EFO_0007486	Broad	J32	DONE	
Pneumothorax	spontaneous pneumothorax	HP_0002108	Broad	J93	DONE	
Acute pericarditis	pericarditis	EFO_0007427	Broad	I30	DONE	
Other nontraumatic intracranial haemorrhage	intracranial hemorrhage NOS	EFO_0000551	Broad	I62	DONE	
Cerebral infarction	brain infarction	EFO_0004277	Broad	I63	DONE	
Other aneurysm	aneurysm	EFO_0009659	Exact	I72	DONE	
Other hearing loss	hearing loss	EFO_0004238	Exact	H91	DONE	
Transient cerebral ischaemic attacks and related syndromes	transient ischemic attack	EFO_0003764	Broad	G45	DONE	
Acute and transient psychotic disorders	General psycotic symptoms term	EFO_0005940	Exact	F23	DONE	
Other anxiety disorders	General anxiety disorder	EFO_0006788	Exact	F41	DONE	
Mental disorder, not otherwise specified	General mental or behavioural disorder term	EFO_0000677	Broad	F99	DONE	
Other disorders of thyroid	General throid disorder term	EFO_1000627	Exact	E07	DONE	
Hyperparathyroidism and other disorders of parathyroid gland	Hyperparathyroidism	EFO_0008506	Broad	E21	DONE	
Carcinoma in situ of skin	skin neoplasm	EFO_0004198	Broad	D04	DONE	
Carcinoma in situ of breast	breast carcinoma	EFO_0000305	Broad	D05	DONE	
Carcinoma in situ of cervix uteri	cervical carcinoma	EFO_0001061	Broad	D06	DONE	
Benign neoplasm of mouth and pharynx	mouth neoplasm	EFO_0003868	Broad	D10	DONE	
Benign neoplasm of major salivary glands	salivary gland neoplasm	EFO_0003826	Broad	D11	DONE	
Other benign neoplasms of uterus	uterus neoplasm	EFO_0003859	Broad	D26	DONE	
Neoplasm of uncertain or unknown behaviour of female genital organs	Genital neoplasm, female	EFO_1001331	Exact	D39	DONE	
Neoplasm of uncertain or unknown behaviour of endocrine glands	endocrine neoplasm	EFO_0003769	Exact	D44	DONE	
Malignant neoplasm of other and unspecified parts of tongue	tongue neoplasm	EFO_0003871	Broad	C02	DONE	
Malignant neoplasm of tonsil	tonsil cancer	EFO_1001214	Exact	C09	DONE	
Malignant neoplasm of oesophagus	esophageal carcinoma	EFO_0002916	Narrow	C15	DONE	
Malignant neoplasm of stomach	stomach neoplasm	EFO_0003897	Broad	C16	DONE	
Malignant neoplasm of rectum	rectum cancer	EFO_1000657	Exact	C20	DONE	
Malignant neoplasm of anus and anal canal	anal neoplasm	EFO_0003835	Broad	C21	DONE	
Malignant neoplasm of liver and intrahepatic bile ducts	Liver neoplasm	EFO_1001513	Broad	C22	DONE	
Malignant neoplasm of pancreas	pancreatic carcinoma	EFO_0002618	Narrow	C25	DONE	
Malignant neoplasm of bronchus and lung	Lung carcinoma	EFO_0001071	Broad	C34	DONE	
Malignant melanoma of skin	cutaneous melanoma	EFO_0000389	Exact	C43	DONE	
Malignant neoplasm of cervix uteri	cervical carcinoma	EFO_0001061	Broad	C53	DONE	
Malignant neoplasm of corpus uteri	uterine corpus cancer	EFO_0007532	Broad	C54	DONE	
Malignant neoplasm of ovary	Not malignant specific	EFO_0003893	Broad	C56	DONE	
Malignant neoplasm of kidney, except renal pelvis	kidney neoplasm	EFO_0003865	Broad	C64	DONE	
Malignant neoplasm of bladder	bladder carcinoma	EFO_0000292	Narrow	C67	DONE	
Malignant neoplasm of eye and adnexa	eye neoplasm	EFO_0003824	Broad	C69	DONE	
Malignant neoplasm of thyroid gland	thyroid carcinoma	EFO_0002892	Narrow	C73	DONE	
Diffuse non-Hodgkin's lymphoma	non-Hodgkins lymphoma	EFO_0005952	Broad	C83	DONE	
Chronic viral hepatitis	viral hepatitis	EFO_0007540	Broad	B18	DONE	
Diarrhoea and gastro-enteritis of presumed infectious origin	diarrhoea||gastroenteritis	EFO_1001463, EFO_1001463	Broad	A09	DONE	
Other septicaemia	sepsis	HP_0100806	Exact	A41	DONE	
Personal history of other diseases and conditions	clinical history	EFO_0000352	Broad	Z87	DONE	
Family history of malignant neoplasm	There is only family history of breast or lung cancer, could use a parent term like family history of cancer?	EFO:0009640	Exact	Z80	DONE	
Other medical care	health care delivery	EFO_0009786	Broad	Z51	DONE	
Fitting and adjustment of other devices	?	EFO_0009786	Broad	Z46	DONE	
Adjustment and management of implanted device	?	EFO_0009786	Broad	Z45	DONE	
Donors of organs and tissues	organ donor||tissue donor	EFO_0009634, EFO_0009633	Exact	Z52	DONE	
Fitting and adjustment of external prosthetic device	prosthesis fitting	EFO_0009786	Broad	Z44	DONE	
Other surgical follow-up care	follow-up	EFO:0009642	Broad	Z48	DONE	
Attention to artificial openings	?	EFO_0009786	Broad	Z43	DONE	
Postpartum care and examination	patient care? follow-up care?	EFO_0009787	Broad	Z39	DONE	
Antenatal screening	screening	EFO_0009787	Broad	Z36	DONE	
Certain early complications of trauma, not elsewhere classified	complication	EFO_0009888	Broad	T79	DONE	
Follow-up care involving plastic surgery	follow-up	EFO:0009642	Broad	Z42	DONE	
Procedures for purposes other than remedying health state	medical procedure	EFO_0002571	Broad	Z41	DONE	
Abnormal findings on diagnostic imaging of other body structures	abnormal finding	EFO_0009827	Exact	R93	DONE	
Symptoms and signs concerning food and fluid intake	sign or symptom	EFO_0009825	Exact	R63	DONE	
Pregnancy examination and test	pregnancy test	EFO:0009643	Exact	Z32	DONE	
Special screening examination for other diseases and disorders	medical examination	EFO_0009517	Broad	Z13	DONE	
Special screening examination for neoplasms	medical examination	EFO_0009517	Broad	Z12	DONE	
Special screening examination for infectious and parasitic diseases	medical examination	EFO_0009517	Broad	Z11	DONE	
Follow-up examination after treatment for conditions other than malignant neoplasms	follow-up	EFO:0009642	Broad	Z09	DONE	
Follow-up examination after treatment for malignant neoplasm	follow-up	EFO:0009642	Broad	Z08	DONE	
Examination and observation for other reasons	medical examination	EFO_0009517	Broad	Z04	DONE	
Medical observation and evaluation for suspected diseases and conditions	medical examination	EFO_0009517	Broad	Z03	DONE	
Other special examinations and investigations of persons without complaint or reported diagnosis	medical examination	EFO_0009517	Broad	Z01	DONE	
General examination and investigation of persons without complaint or reported diagnosis	medical examination	EFO_0009517	Broad	Z00	DONE	
Other complications of surgical and medical care, not elsewhere classified	complication	EFO_0009518	Broad	T88	DONE	
Complications peculiar to reattachment and amputation	complication	EFO_0009518	Broad	T87	DONE	
Complications of procedures, not elsewhere classified	complication	EFO_0009518	Broad	T81	DONE	
